,user_id,type,submitdate,extraversion,agreeableness,conscientiousness,stability,intellect,gender,ipip_extraversion_category,ipip_agreeableness_category,ipip_conscientiousness_category,ipip_stability_category,ipip_intellect_category
42,621e34f767b776a240de4e1a,bfpt,2021-06-07,40.0,42.0,43.0,32.0,37.0,FEMALE,HIGH,AVERAGE,HIGH,HIGH,AVERAGE
43,621e356967b776a24027bd9f,bfpt,2021-11-24,26.0,38.0,41.0,25.0,39.0,FEMALE,LOW,LOW,HIGH,AVERAGE,HIGH
44,621e360b67b776a24039709f,bfpt,2021-06-07,31.0,42.0,31.0,26.0,39.0,FEMALE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,HIGH
45,621e362467b776a2404ad513,bfpt,2021-06-02,19.0,36.0,28.0,35.0,35.0,FEMALE,LOW,LOW,LOW,HIGH,AVERAGE
47,621e366567b776a24076a727,bfpt,2021-11-22,30.0,36.0,41.0,33.0,37.0,MALE,AVERAGE,AVERAGE,HIGH,AVERAGE,AVERAGE
48,621e367e67b776a24087d75d,bfpt,2021-11-24,13.0,26.0,28.0,28.0,34.0,MALE,LOW,LOW,LOW,LOW,LOW
49,621e36bb67b776a240b40d64,bfpt,2021-06-02,41.0,29.0,33.0,17.0,30.0,FEMALE,HIGH,LOW,AVERAGE,LOW,LOW
50,621e36c267b776a240ba2756,bfpt,2021-05-31,39.0,36.0,23.0,40.0,28.0,MALE,HIGH,AVERAGE,LOW,HIGH,LOW
51,621e36dd67b776a240ce9a45,bfpt,2021-07-21,33.0,34.0,36.0,32.0,38.0,MALE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE
52,621e36f967b776a240e5e7c9,bfpt,2021-05-31,42.0,42.0,38.0,31.0,41.0,FEMALE,HIGH,AVERAGE,HIGH,AVERAGE,HIGH
54,621e375b67b776a240290cdc,bfpt,2021-06-01,34.0,46.0,33.0,18.0,40.0,FEMALE,AVERAGE,HIGH,AVERAGE,LOW,HIGH
